word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
22.0,123.0,0,0.0,0.0,0.09090909090909091,-0.3,0.0,NORMAL
31.0,141.0,0,1.0,0.0,0.0967741935483871,-0.5,1.0,NORMAL
18.0,124.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
8.0,48.0,0,0.0,0.0,0.0,0.0,2.0,NORMAL
19.0,106.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
25.0,130.0,0,1.0,0.0,0.0,0.03125,0.0,NORMAL
25.0,131.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
19.0,108.0,0,0.0,1.0,0.0,-0.3,0.0,NORMAL
23.0,119.0,1,0.0,2.0,0.043478260869565216,-0.1875,0.0,URGENT
24.0,123.0,1,0.0,1.0,0.0,-0.25,0.0,URGENT
11.0,65.0,0,0.0,0.0,0.0,-0.3,0.0,URGENT
23.0,129.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
16.0,93.0,0,0.0,0.0,0.0,0.05,1.0,NORMAL
10.0,50.0,0,0.0,1.0,0.0,0.1,0.0,URGENT
24.0,129.0,0,1.0,1.0,0.0,0.125,0.0,NORMAL
20.0,125.0,0,1.0,0.0,0.0,-0.5,1.0,URGENT
45.0,209.0,0,0.0,0.0,0.0,-0.06666666666666667,0.0,NORMAL
5.0,25.0,0,1.0,0.0,0.0,1.0,0.0,NORMAL
18.0,96.0,0,0.0,0.0,0.05555555555555555,0.26875,0.0,URGENT
14.0,93.0,0,0.0,0.0,0.0,-0.75,2.0,NORMAL
13.0,74.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
21.0,127.0,0,3.0,0.0,0.0,0.125,0.0,URGENT
14.0,93.0,1,1.0,0.0,0.07142857142857142,-0.3703968253968254,1.0,URGENT
22.0,129.0,0,0.0,3.0,0.0,0.0,0.0,URGENT
18.0,124.0,0,0.0,0.0,0.0,0.13333333333333336,0.0,NORMAL
22.0,109.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
42.0,239.0,0,0.0,0.0,0.0,0.4800000000000001,0.0,URGENT
21.0,140.0,0,0.0,0.0,0.047619047619047616,0.3,2.0,NORMAL
23.0,131.0,0,2.0,1.0,0.043478260869565216,0.020833333333333332,0.0,URGENT
17.0,83.0,0,1.0,0.0,0.0,0.25,1.0,NORMAL
26.0,139.0,0,0.0,2.0,0.0,0.016666666666666646,1.0,NORMAL
23.0,136.0,0,1.0,0.0,0.0,0.625,0.0,NORMAL
14.0,66.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
56.0,281.0,0,3.0,0.0,0.017857142857142856,-0.2625,1.0,URGENT
20.0,98.0,0,2.0,0.0,0.0,0.24583333333333332,0.0,URGENT
21.0,132.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
18.0,107.0,0,0.0,1.0,0.0,0.6666666666666666,0.0,NORMAL
21.0,103.0,0,0.0,1.0,0.0,0.0,0.0,URGENT
17.0,89.0,0,0.0,1.0,0.058823529411764705,-0.31666666666666665,0.0,NORMAL
23.0,111.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
9.0,58.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
18.0,119.0,0,0.0,0.0,0.0,-0.4,1.0,NORMAL
21.0,121.0,0,0.0,1.0,0.047619047619047616,0.0,1.0,NORMAL
12.0,63.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
48.0,250.0,0,0.0,1.0,0.0,-0.19999999999999998,1.0,NORMAL
21.0,126.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
22.0,105.0,0,0.0,1.0,0.0,-0.011111111111111108,1.0,NORMAL
10.0,59.0,0,0.0,0.0,0.0,0.0,2.0,NORMAL
16.0,87.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
